country,total_years,nonmissing_years,missing_years,model_id,workbook_model,monetary_proxy,structural_gap_flag
Brunei Darussalam,14,14,0,M1_baseline_liquidity,M1 - Baseline liquidity,broad_money_pct_gdp,False
Cambodia,14,14,0,M1_baseline_liquidity,M1 - Baseline liquidity,broad_money_pct_gdp,False
Indonesia,14,14,0,M1_baseline_liquidity,M1 - Baseline liquidity,broad_money_pct_gdp,False
Lao PDR,14,1,13,M1_baseline_liquidity,M1 - Baseline liquidity,broad_money_pct_gdp,True
Malaysia,14,14,0,M1_baseline_liquidity,M1 - Baseline liquidity,broad_money_pct_gdp,False
Myanmar,14,11,3,M1_baseline_liquidity,M1 - Baseline liquidity,broad_money_pct_gdp,False
Philippines,14,13,1,M1_baseline_liquidity,M1 - Baseline liquidity,broad_money_pct_gdp,False
Singapore,14,11,3,M1_baseline_liquidity,M1 - Baseline liquidity,broad_money_pct_gdp,False
Thailand,14,14,0,M1_baseline_liquidity,M1 - Baseline liquidity,broad_money_pct_gdp,False
Timor-Leste,14,14,0,M1_baseline_liquidity,M1 - Baseline liquidity,broad_money_pct_gdp,False
Viet Nam,14,13,1,M1_baseline_liquidity,M1 - Baseline liquidity,broad_money_pct_gdp,False
Brunei Darussalam,14,14,0,M2_main_monetary_policy,M2 - Deposit-rate channel,deposit_interest_rate_pct,False
Cambodia,14,14,0,M2_main_monetary_policy,M2 - Deposit-rate channel,deposit_interest_rate_pct,False
Indonesia,14,14,0,M2_main_monetary_policy,M2 - Deposit-rate channel,deposit_interest_rate_pct,False
Lao PDR,14,1,13,M2_main_monetary_policy,M2 - Deposit-rate channel,deposit_interest_rate_pct,True
Malaysia,14,14,0,M2_main_monetary_policy,M2 - Deposit-rate channel,deposit_interest_rate_pct,False
Myanmar,14,11,3,M2_main_monetary_policy,M2 - Deposit-rate channel,deposit_interest_rate_pct,False
Philippines,14,10,4,M2_main_monetary_policy,M2 - Deposit-rate channel,deposit_interest_rate_pct,False
Singapore,14,12,2,M2_main_monetary_policy,M2 - Deposit-rate channel,deposit_interest_rate_pct,False
Thailand,14,14,0,M2_main_monetary_policy,M2 - Deposit-rate channel,deposit_interest_rate_pct,False
Timor-Leste,14,14,0,M2_main_monetary_policy,M2 - Deposit-rate channel,deposit_interest_rate_pct,False
Viet Nam,14,14,0,M2_main_monetary_policy,M2 - Deposit-rate channel,deposit_interest_rate_pct,False
Brunei Darussalam,14,14,0,M3_lagged_main_model,M3 - Lagged deposit-rate robustness,deposit_interest_rate_pct,False
Cambodia,14,14,0,M3_lagged_main_model,M3 - Lagged deposit-rate robustness,deposit_interest_rate_pct,False
Indonesia,14,14,0,M3_lagged_main_model,M3 - Lagged deposit-rate robustness,deposit_interest_rate_pct,False
Lao PDR,14,1,13,M3_lagged_main_model,M3 - Lagged deposit-rate robustness,deposit_interest_rate_pct,True
Malaysia,14,14,0,M3_lagged_main_model,M3 - Lagged deposit-rate robustness,deposit_interest_rate_pct,False
Myanmar,14,11,3,M3_lagged_main_model,M3 - Lagged deposit-rate robustness,deposit_interest_rate_pct,False
Philippines,14,10,4,M3_lagged_main_model,M3 - Lagged deposit-rate robustness,deposit_interest_rate_pct,False
Singapore,14,12,2,M3_lagged_main_model,M3 - Lagged deposit-rate robustness,deposit_interest_rate_pct,False
Thailand,14,14,0,M3_lagged_main_model,M3 - Lagged deposit-rate robustness,deposit_interest_rate_pct,False
Timor-Leste,14,14,0,M3_lagged_main_model,M3 - Lagged deposit-rate robustness,deposit_interest_rate_pct,False
Viet Nam,14,14,0,M3_lagged_main_model,M3 - Lagged deposit-rate robustness,deposit_interest_rate_pct,False
Brunei Darussalam,14,14,0,M4_real_interest_robustness,M4 - Real-rate channel,real_interest_rate_pct,False
Cambodia,14,0,14,M4_real_interest_robustness,M4 - Real-rate channel,real_interest_rate_pct,True
Indonesia,14,14,0,M4_real_interest_robustness,M4 - Real-rate channel,real_interest_rate_pct,False
Lao PDR,14,1,13,M4_real_interest_robustness,M4 - Real-rate channel,real_interest_rate_pct,True
Malaysia,14,14,0,M4_real_interest_robustness,M4 - Real-rate channel,real_interest_rate_pct,False
Myanmar,14,11,3,M4_real_interest_robustness,M4 - Real-rate channel,real_interest_rate_pct,False
Philippines,14,10,4,M4_real_interest_robustness,M4 - Real-rate channel,real_interest_rate_pct,False
Singapore,14,12,2,M4_real_interest_robustness,M4 - Real-rate channel,real_interest_rate_pct,False
Thailand,14,14,0,M4_real_interest_robustness,M4 - Real-rate channel,real_interest_rate_pct,False
Timor-Leste,14,13,1,M4_real_interest_robustness,M4 - Real-rate channel,real_interest_rate_pct,False
Viet Nam,14,14,0,M4_real_interest_robustness,M4 - Real-rate channel,real_interest_rate_pct,False
Brunei Darussalam,14,14,0,M5_lending_rate_robustness,M5 - Lending rate robustness,lending_interest_rate_pct,False
Cambodia,14,0,14,M5_lending_rate_robustness,M5 - Lending rate robustness,lending_interest_rate_pct,True
Indonesia,14,14,0,M5_lending_rate_robustness,M5 - Lending rate robustness,lending_interest_rate_pct,False
Lao PDR,14,1,13,M5_lending_rate_robustness,M5 - Lending rate robustness,lending_interest_rate_pct,True
Malaysia,14,14,0,M5_lending_rate_robustness,M5 - Lending rate robustness,lending_interest_rate_pct,False
Myanmar,14,11,3,M5_lending_rate_robustness,M5 - Lending rate robustness,lending_interest_rate_pct,False
Philippines,14,10,4,M5_lending_rate_robustness,M5 - Lending rate robustness,lending_interest_rate_pct,False
Singapore,14,12,2,M5_lending_rate_robustness,M5 - Lending rate robustness,lending_interest_rate_pct,False
Thailand,14,14,0,M5_lending_rate_robustness,M5 - Lending rate robustness,lending_interest_rate_pct,False
Timor-Leste,14,13,1,M5_lending_rate_robustness,M5 - Lending rate robustness,lending_interest_rate_pct,False
Viet Nam,14,14,0,M5_lending_rate_robustness,M5 - Lending rate robustness,lending_interest_rate_pct,False
Brunei Darussalam,14,14,0,M6a_tourism_robustness_from_M2,M6a - Tourism robustness from M2,deposit_interest_rate_pct,False
Cambodia,14,14,0,M6a_tourism_robustness_from_M2,M6a - Tourism robustness from M2,deposit_interest_rate_pct,False
Indonesia,14,14,0,M6a_tourism_robustness_from_M2,M6a - Tourism robustness from M2,deposit_interest_rate_pct,False
Lao PDR,14,1,13,M6a_tourism_robustness_from_M2,M6a - Tourism robustness from M2,deposit_interest_rate_pct,True
Malaysia,14,14,0,M6a_tourism_robustness_from_M2,M6a - Tourism robustness from M2,deposit_interest_rate_pct,False
Myanmar,14,11,3,M6a_tourism_robustness_from_M2,M6a - Tourism robustness from M2,deposit_interest_rate_pct,False
Philippines,14,10,4,M6a_tourism_robustness_from_M2,M6a - Tourism robustness from M2,deposit_interest_rate_pct,False
Singapore,14,12,2,M6a_tourism_robustness_from_M2,M6a - Tourism robustness from M2,deposit_interest_rate_pct,False
Thailand,14,14,0,M6a_tourism_robustness_from_M2,M6a - Tourism robustness from M2,deposit_interest_rate_pct,False
Timor-Leste,14,14,0,M6a_tourism_robustness_from_M2,M6a - Tourism robustness from M2,deposit_interest_rate_pct,False
Viet Nam,14,14,0,M6a_tourism_robustness_from_M2,M6a - Tourism robustness from M2,deposit_interest_rate_pct,False
Brunei Darussalam,14,14,0,M6b_tourism_robustness_from_M4,M6b - Tourism robustness from M4,real_interest_rate_pct,False
Cambodia,14,0,14,M6b_tourism_robustness_from_M4,M6b - Tourism robustness from M4,real_interest_rate_pct,True
Indonesia,14,14,0,M6b_tourism_robustness_from_M4,M6b - Tourism robustness from M4,real_interest_rate_pct,False
Lao PDR,14,1,13,M6b_tourism_robustness_from_M4,M6b - Tourism robustness from M4,real_interest_rate_pct,True
Malaysia,14,14,0,M6b_tourism_robustness_from_M4,M6b - Tourism robustness from M4,real_interest_rate_pct,False
Myanmar,14,11,3,M6b_tourism_robustness_from_M4,M6b - Tourism robustness from M4,real_interest_rate_pct,False
Philippines,14,10,4,M6b_tourism_robustness_from_M4,M6b - Tourism robustness from M4,real_interest_rate_pct,False
Singapore,14,12,2,M6b_tourism_robustness_from_M4,M6b - Tourism robustness from M4,real_interest_rate_pct,False
Thailand,14,14,0,M6b_tourism_robustness_from_M4,M6b - Tourism robustness from M4,real_interest_rate_pct,False
Timor-Leste,14,13,1,M6b_tourism_robustness_from_M4,M6b - Tourism robustness from M4,real_interest_rate_pct,False
Viet Nam,14,14,0,M6b_tourism_robustness_from_M4,M6b - Tourism robustness from M4,real_interest_rate_pct,False
Brunei Darussalam,14,14,0,M7a_human_capital_robustness_from_M2,M7a - Human capital sensitivity from M2,deposit_interest_rate_pct,False
Cambodia,14,14,0,M7a_human_capital_robustness_from_M2,M7a - Human capital sensitivity from M2,deposit_interest_rate_pct,False
Indonesia,14,14,0,M7a_human_capital_robustness_from_M2,M7a - Human capital sensitivity from M2,deposit_interest_rate_pct,False
Lao PDR,14,1,13,M7a_human_capital_robustness_from_M2,M7a - Human capital sensitivity from M2,deposit_interest_rate_pct,True
Malaysia,14,14,0,M7a_human_capital_robustness_from_M2,M7a - Human capital sensitivity from M2,deposit_interest_rate_pct,False
Myanmar,14,11,3,M7a_human_capital_robustness_from_M2,M7a - Human capital sensitivity from M2,deposit_interest_rate_pct,False
Philippines,14,10,4,M7a_human_capital_robustness_from_M2,M7a - Human capital sensitivity from M2,deposit_interest_rate_pct,False
Singapore,14,12,2,M7a_human_capital_robustness_from_M2,M7a - Human capital sensitivity from M2,deposit_interest_rate_pct,False
Thailand,14,14,0,M7a_human_capital_robustness_from_M2,M7a - Human capital sensitivity from M2,deposit_interest_rate_pct,False
Timor-Leste,14,14,0,M7a_human_capital_robustness_from_M2,M7a - Human capital sensitivity from M2,deposit_interest_rate_pct,False
Viet Nam,14,14,0,M7a_human_capital_robustness_from_M2,M7a - Human capital sensitivity from M2,deposit_interest_rate_pct,False
Brunei Darussalam,14,14,0,M7b_human_capital_robustness_from_M4,M7b - Human capital sensitivity from M4,real_interest_rate_pct,False
Cambodia,14,0,14,M7b_human_capital_robustness_from_M4,M7b - Human capital sensitivity from M4,real_interest_rate_pct,True
Indonesia,14,14,0,M7b_human_capital_robustness_from_M4,M7b - Human capital sensitivity from M4,real_interest_rate_pct,False
Lao PDR,14,1,13,M7b_human_capital_robustness_from_M4,M7b - Human capital sensitivity from M4,real_interest_rate_pct,True
Malaysia,14,14,0,M7b_human_capital_robustness_from_M4,M7b - Human capital sensitivity from M4,real_interest_rate_pct,False
Myanmar,14,11,3,M7b_human_capital_robustness_from_M4,M7b - Human capital sensitivity from M4,real_interest_rate_pct,False
Philippines,14,10,4,M7b_human_capital_robustness_from_M4,M7b - Human capital sensitivity from M4,real_interest_rate_pct,False
Singapore,14,12,2,M7b_human_capital_robustness_from_M4,M7b - Human capital sensitivity from M4,real_interest_rate_pct,False
Thailand,14,14,0,M7b_human_capital_robustness_from_M4,M7b - Human capital sensitivity from M4,real_interest_rate_pct,False
Timor-Leste,14,13,1,M7b_human_capital_robustness_from_M4,M7b - Human capital sensitivity from M4,real_interest_rate_pct,False
Viet Nam,14,14,0,M7b_human_capital_robustness_from_M4,M7b - Human capital sensitivity from M4,real_interest_rate_pct,False
