metric,value
Headline estimator,"Two-way FE, Driscoll-Kraay SE"
Hausman diagnostic,Diagnostic only; Hausman does not reject RE
Hausman p-value,0.9063
Hausman raw statistic,2.7597
Hausman negative-statistic flag,False
FE vs RE comparison note,ok
Diagnostic model note,BP/White/condition-number diagnostics use pooled OLS residuals/design; Pesaran CD uses FE-DK residuals.
Pesaran CD statistic,-0.8941
Pesaran CD p-value,0.3713
Condition number,4369.3459
Breusch-Pagan LM p-value,0.0000
White LM p-value,0.0144
Max VIF,207.3183
Lost-country note,None
