metric,value
Headline estimator,"Two-way FE, Driscoll-Kraay SE"
Hausman diagnostic,Diagnostic only; Hausman favors FE
Hausman p-value,0.0000
Hausman raw statistic,49.4349
Hausman negative-statistic flag,False
FE vs RE comparison note,ok
Diagnostic model note,BP/White/condition-number diagnostics use pooled OLS residuals/design; Pesaran CD uses FE-DK residuals.
Pesaran CD statistic,-1.6667
Pesaran CD p-value,0.0956
Condition number,4179.0670
Breusch-Pagan LM p-value,0.0003
White LM p-value,0.0594
Max VIF,350.8979
Lost-country note,Timor-Leste
