role,original_variable_in_file,suggested_variable_name,decision,reason,expected_sign,decision_group
Dependent variable,"fdi (FDI net inflows, % GDP)",fdi_gdp,KEEP - main Y,"Biến phụ thuộc phù hợp vì đã chuẩn hóa theo GDP, so sánh được giữa các nước ASEAN.",,keep
Monetary policy,"bm (Broad money, % GDP)",bm_gdp,KEEP - main X,Đại diện kênh cung tiền/thanh khoản; dữ liệu có 133/154 quan sát.,+,keep
Monetary policy,"ir_deposit (Deposit interest rate, %)",ir_deposit,KEEP - main interest-rate proxy,Dữ liệu nhiều hơn ir_real/ir_lending; dùng thay policy rate khi policy rate không đủ ASEAN.,- / ambiguous,keep
Monetary policy,"ir_real (Real interest rate, %)",ir_real,ROBUSTNESS,Lý thuyết tốt cho chi phí vốn thực nhưng thiếu nhiều hơn và không có Cambodia.,-,robustness
Monetary policy,"ir_lending (Lending interest rate, %)",ir_lending,ROBUSTNESS,Phản ánh chi phí vay trực tiếp nhưng thiếu nhiều hơn; không nên đưa cùng ir_real/ir_deposit trong một mô hình chính.,-,robustness
Control,"infl (Inflation, GDP deflator, %)",infl,KEEP,Ổn định vĩ mô; lạm phát cao có thể làm giảm hấp dẫn FDI.,-,keep
Control,"trade (Trade, % GDP)",trade_gdp,KEEP,Độ mở thương mại là biến kiểm soát chuẩn trong mô hình FDI.,+,keep
Control,"gdppc (GDP per capita, current USD)",ln_gdppc,KEEP after log,Đại diện thu nhập/quy mô thị trường; nên log để giảm lệch phân phối.,+,keep after log
Control,"xr_official (Exchange rate, LCU/USD)",xr_dep or ln_xr,KEEP after transform,Không nên dùng level thô vì đơn vị tiền khác nhau; nên dùng tỷ lệ mất giá Δln(exchange rate).,ambiguous,keep after transform
Control,"pop_total (Population, total)",ln_pop,OPTIONAL,Đại diện quy mô thị trường; tránh đưa nếu mô hình đã quá nhiều biến hoặc nếu dùng GDPpc/trade là đủ.,+,optional
Control,hc (Human capital index),hc,OPTIONAL / robustness,"Có 140/154 quan sát, nhưng file hiện có dấu hiệu lỗi định dạng số; chỉ dùng sau khi làm sạch.",+,optional / robustness
Control,tourism (Intl tourism arrivals),ln_tourism,OPTIONAL / robustness,Thiếu 41 quan sát; chỉ nên dùng nếu muốn kiểm tra kênh du lịch/dịch vụ.,+,optional / robustness
Control,hci_educ (HCI+ education pillar score),hci_educ,DROP,"Chỉ có 24/154 quan sát, đưa vào sẽ làm mẫu quá nhỏ.",+,drop
Duplicate,"pop (Population, millions)",drop,DROP,Trùng với pop_total và trong file combined đang bị lỗi định dạng số.,,drop
Duplicate,"xr (Exchange rate, NCU/USD)",drop,DROP,Trùng ý nghĩa với xr_official; nên dùng xr_official từ WDI.,,drop
