metric,value
Headline estimator,"Two-way FE, Driscoll-Kraay SE"
Hausman diagnostic,Diagnostic only; negative statistic clipped
Hausman p-value,1.0000
Hausman raw statistic,-3222.6030
Hausman negative-statistic flag,True
FE vs RE comparison note,ok
Diagnostic model note,BP/White/condition-number diagnostics use pooled OLS residuals/design; Pesaran CD uses FE-DK residuals.
Pesaran CD statistic,-1.5886
Pesaran CD p-value,0.1121
Condition number,4050.1131
Breusch-Pagan LM p-value,0.0008
White LM p-value,0.0618
Max VIF,387.1872
Lost-country note,Timor-Leste
