metric,value
Headline estimator,"Two-way FE, Driscoll-Kraay SE"
Hausman diagnostic,Diagnostic only; Hausman favors FE
Hausman p-value,0.0014
Hausman raw statistic,23.5629
Hausman negative-statistic flag,False
FE vs RE comparison note,ok
Diagnostic model note,BP/White/condition-number diagnostics use pooled OLS residuals/design; Pesaran CD uses FE-DK residuals.
Pesaran CD statistic,-0.7483
Pesaran CD p-value,0.4543
Condition number,4514.3748
Breusch-Pagan LM p-value,0.0000
White LM p-value,0.0206
Max VIF,179.5011
Lost-country note,Timor-Leste
